Year,YALE.SPCOMP - S&P Composite,YALE.SPCOMP - Dividend,YALE.SPCOMP - Earnings,YALE.SPCOMP - CPI,YALE.SPCOMP - Long Interest Rate,YALE.SPCOMP - Real Price,YALE.SPCOMP - Real Dividend,YALE.SPCOMP - Real Earnings,YALE.SPCOMP - Cyclically Adjusted PE Ratio
1892-04-30,5.57,0.2267,0.35,7.040773553999999,3.6375,188.09164324673,7.6553636488392005,11.819044010118,19.943265241639
1892-05-31,5.57,0.2283,0.3525,7.040773553999999,3.65,188.09164324673,7.7093935643139995,11.903465753047,19.91146521349
1892-06-30,5.54,0.23,0.355,7.040773553999999,3.6625,187.07858233158,7.766800349506,11.987887495977,19.769284397137
1892-07-31,5.54,0.2317,0.3575,7.2310717360000005,3.675,182.15528528675,7.6182995669565,11.754605503612002,19.211886434506
1892-08-31,5.62,0.2333,0.36,7.326212727000001,3.6875,182.38598915857,7.571290261689401,11.683088273503001,19.204303803174
1892-09-30,5.48,0.235,0.3625,7.326212727000001,3.7,177.84256594110002,7.626460400758701,11.764220830958,18.694271809588002
1892-10-31,5.59,0.2367,0.365,7.326212727000001,3.7125,181.41239846911,7.681630539828,11.845353388412,19.040214915325
1892-11-30,5.57,0.2383,0.3675,7.51650281,3.725,176.18707808346,7.5377703244682,11.624551381628999,18.4633126908
1892-12-31,5.51,0.24,0.37,7.611651901,3.7375,172.11049842254,7.496646029293999,11.557329295162,18.013009251276
1893-01-31,5.61,0.2408,0.3608,7.8970910739999995,3.75,168.90029062618,7.2497664853447,10.862606926545999,17.656643708099
1893-02-28,5.51,0.2417,0.3517,7.992232066000001,3.7458333333333,163.91481024095,7.1902376833460995,10.462584167285,17.125193854872002
1893-03-31,5.31,0.2425,0.3425,7.801941983,3.7416666666667004,161.81787242853997,7.3899875826595,10.437405142519,16.899589031582
1893-04-30,5.31,0.2433,0.3333,7.706792892999999,3.7375,163.81569740206,7.5059056832241,10.282442927327,17.102541578255
1893-05-31,4.84,0.2442,0.3242,7.611651901,3.7333333333332996,151.18236159076,7.6278373348067,10.126719344571,15.780987310776
1893-06-30,4.61,0.245,0.315,7.421361817999999,3.7291666666667003,147.69030999696,7.849051182050901,10.091637234065,15.416503863598
1893-07-31,4.18,0.2458,0.3058,7.2310717360000005,3.725,137.43846434993,8.081907784022,10.054708707705,14.349854182761
